Max iterations: 100
Function: 6 | Xmin: [-4.945648582881887, -0.06991704497475126, 3.3870590791678095, 1.623590084800556]                                                  | F(X)=  0.041316 | f_count = 100000
Function: 6 | Xmin: [-0.9470705733635754, -1.5014417178352915, -2.371097741650459, 1.0372405229761696]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-1.024865067641767, -2.7615233631407583, 0.19813821388337205, -1.138459778177145]                                                 | F(X)=  0.010361 | f_count = 100000
Function: 6 | Xmin: [1.4864213401896151, -2.1833191792102724, -0.9226564992220432, 1.4220482931367329]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-2.6804263025519264, 0.9356196911997419, -1.219452543419933, 0.8604068895479831]                                                  | F(X)=  0.014368 | f_count = 100000
Function: 6 | Xmin: [-1.4040715237004875, -1.2300258779649127, -0.5130531850114721, 2.470422969066135]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-5.984487547020277, -1.5088979597261982, -0.4356055252440212, 0.7858743887668194]                                                 | F(X)=  0.038729 | f_count = 100000
Function: 6 | Xmin: [0.421834193150616, -0.8932833162705052, -2.9218449219917915, 0.5796673677765725]                                                  | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [3.425536037822667, 3.1739895511828866, -1.0850984249678497, 3.951508633752136]                                                    | F(X)=  0.041045 | f_count = 100000
Function: 6 | Xmin: [-1.0988002294541488, -0.7194284054891611, -2.8062595397279466, -0.49788975615012987]                                              | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [1.0175560638466319, -1.9096802858432504, -0.5130090832039631, -5.9802478329447615]                                                | F(X)=  0.047040 | f_count = 100000
Function: 6 | Xmin: [-2.8361095600650614, -0.4041435261457096, -0.6652596784876224, 1.0977988709444304]                                                | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [2.612711489302731, 3.0922250095177652, 4.389912035644497, 1.730538004689811]                                                      | F(X)=  0.040547 | f_count = 100000
Function: 6 | Xmin: [-1.4237172239862517, -0.9246592162414657, 2.461744528648623, -0.9537462967616506]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [0.21307160292615634, -0.7792944840835587, 0.6577942892361079, -3.0111410308498403]                                                | F(X)=  0.011955 | f_count = 100000
Function: 6 | Xmin: [0.6745580075063771, -2.8279079570331405, 0.7224324810182949, -0.9360079460181936]                                                 | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [4.731404345806492, 1.202626858366493, -3.2524893035141202, 2.359121687948962]                                                     | F(X)=  0.039145 | f_count = 100000
Function: 6 | Xmin: [-2.369285759585267, 0.6127598823356095, 1.5312440544338415, 1.231027236474624]                                                    | F(X)=  0.009716 | f_count = 100000
Function: 6 | Xmin: [-2.873865453289736, -3.7073804193869657, 0.44000742754878, -4.126228797103127]                                                    | F(X)=  0.037414 | f_count = 100000
Function: 6 | Xmin: [0.4721882210675403, -2.9330029168142886, -0.584960262756475, 0.8267645009825273]                                                  | F(X)=  0.009716 | f_count = 100000
Mutation probability: 0.300000
Function: 6 | Xmin: [1.4478986750410137, -1.2509812052569007, -1.0140104214993664, 2.2756682736960023]                                                 | F(X)=  0.009724 | f_count = 100000
Function: 6 | Xmin: [-4.791524310838845, 1.692987295621542, -2.1615753944279703, -2.245403406812386]                                                   | F(X)=  0.126963 | f_count = 100000
Function: 6 | Xmin: [1.3210663814721681, -2.280111697136711, -0.9475921715095845, -1.412873672820265]                                                  | F(X)=  0.009719 | f_count = 100000
